mapping_id,product_id,feedstock_index_code,conversion_factor,cost_weight_pct,effective_date
1,ETH-001,ETH-DEL-USG,1.1,50.0,2024-01-01
2,ETH-001,NAPHTHA-CIF-NWE,1.3,50.0,2024-01-01
3,PP-001,ETH-DEL-USG,1.1,50.0,2024-01-01
4,PP-001,NAPHTHA-CIF-NWE,1.3,50.0,2024-01-01
5,PP-002,ETH-DEL-USG,1.1,50.0,2024-01-01
6,PP-002,NAPHTHA-CIF-NWE,1.3,50.0,2024-01-01
7,BUT-001,ETH-DEL-USG,1.1,50.0,2024-01-01
8,BUT-001,NAPHTHA-CIF-NWE,1.3,50.0,2024-01-01
9,HDPE-001,ETH-DEL-USG,1.05,50.0,2024-01-01
10,HDPE-001,PP-DEL-USG,1.08,50.0,2024-01-01
11,LDPE-001,ETH-DEL-USG,1.05,50.0,2024-01-01
12,LDPE-001,PP-DEL-USG,1.08,50.0,2024-01-01
13,LLDPE-001,ETH-DEL-USG,1.05,50.0,2024-01-01
14,LLDPE-001,PP-DEL-USG,1.08,50.0,2024-01-01
15,PP-HOMO,ETH-DEL-USG,1.05,50.0,2024-01-01
16,PP-HOMO,PP-DEL-USG,1.08,50.0,2024-01-01
17,PP-COPOLY,ETH-DEL-USG,1.05,50.0,2024-01-01
18,PP-COPOLY,PP-DEL-USG,1.08,50.0,2024-01-01
19,PS-001,ETH-DEL-USG,1.05,50.0,2024-01-01
20,PS-001,PP-DEL-USG,1.08,50.0,2024-01-01
21,PVC-001,ETH-DEL-USG,1.05,50.0,2024-01-01
22,PVC-001,PP-DEL-USG,1.08,50.0,2024-01-01
23,BEN-001,BEN-FOB-USG,1.0,50.0,2024-01-01
24,BEN-001,CRUDE-BRENT,0.1,50.0,2024-01-01
25,TOL-001,BEN-FOB-USG,1.0,50.0,2024-01-01
26,TOL-001,CRUDE-BRENT,0.1,50.0,2024-01-01
27,XYL-001,BEN-FOB-USG,1.0,50.0,2024-01-01
28,XYL-001,CRUDE-BRENT,0.1,50.0,2024-01-01
29,STY-001,BEN-FOB-USG,1.0,50.0,2024-01-01
30,STY-001,CRUDE-BRENT,0.1,50.0,2024-01-01
31,MEG-001,ETH-DEL-USG,0.8,50.0,2024-01-01
32,MEG-001,NAPHTHA-CIF-NWE,0.5,50.0,2024-01-01
33,DEG-001,ETH-DEL-USG,0.8,50.0,2024-01-01
34,DEG-001,NAPHTHA-CIF-NWE,0.5,50.0,2024-01-01
35,ACN-001,ETH-DEL-USG,0.8,50.0,2024-01-01
36,ACN-001,NAPHTHA-CIF-NWE,0.5,50.0,2024-01-01
37,MMA-001,ETH-DEL-USG,0.8,50.0,2024-01-01
38,MMA-001,NAPHTHA-CIF-NWE,0.5,50.0,2024-01-01
