inventory_balance_id,snapshot_date,product_id,site_id,quantity_mt,quantity_allocated_mt,quantity_available_mt,inventory_value,days_of_supply,reorder_point_mt,safety_stock_mt,storage_cost_daily,inventory_age_days,quality_status
1,2026-01-21,ETH-001,SITE-USG-01,1698.4,203.3,1495.1,1613480.0,69.7,300.4,150.2,849.2,76,RELEASED
2,2026-01-21,ETH-001,SITE-USG-02,825.0,270.9,554.1,783750.0,49.2,157.7,78.8,412.5,82,RELEASED
3,2026-01-21,ETH-001,SITE-NWE-01,1257.3,277.5,979.8,1194435.0,27.6,496.3,248.2,628.65,47,RELEASED
4,2026-01-21,ETH-001,SITE-NWE-02,1574.3,609.9,964.4,1495585.0,27.2,496.3,248.2,787.15,34,RELEASED
5,2026-01-21,ETH-001,SITE-NEA-01,1364.8,544.2,820.6,1296560.0,51.7,222.4,111.2,682.4,88,RELEASED
6,2026-01-21,ETH-001,SITE-NEA-02,1188.3,238.0,950.3,1128885.0,53.7,247.6,123.8,594.15,64,QC_HOLD
7,2026-01-21,PP-001,SITE-USG-01,351.7,74.2,277.5,386870.0,22.4,173.2,86.6,175.85,59,RELEASED
8,2026-01-21,PP-001,SITE-USG-02,915.8,273.8,642.0,1007380.0,41.7,215.4,107.7,457.9,31,QC_HOLD
9,2026-01-21,PP-001,SITE-NWE-01,1365.3,403.3,962.0,1501830.0,29.3,459.7,229.9,682.65,81,RELEASED
10,2026-01-21,PP-001,SITE-NWE-02,1345.0,277.5,1067.5,1479500.0,24.4,612.2,306.1,672.5,88,RELEASED
11,2026-01-21,PP-001,SITE-NEA-01,898.0,278.1,619.9,987800.0,15.8,549.3,274.6,449.0,61,RELEASED
12,2026-01-21,PP-001,SITE-NEA-02,1449.5,421.2,1028.3,1594450.0,48.5,297.1,148.6,724.75,82,RELEASED
13,2026-01-21,PP-002,SITE-USG-01,341.5,90.1,251.4,358575.0,20.8,169.6,84.8,170.75,59,QC_HOLD
14,2026-01-21,PP-002,SITE-USG-02,302.5,89.0,213.5,317625.0,7.4,402.2,201.1,151.25,46,QC_HOLD
15,2026-01-21,PP-002,SITE-NWE-01,1061.6,193.9,867.7,1114680.0,25.1,483.7,241.8,530.8,60,RELEASED
16,2026-01-21,PP-002,SITE-NWE-02,1718.3,227.6,1490.7,1804215.0,85.3,244.6,122.3,859.15,26,QC_HOLD
17,2026-01-21,PP-002,SITE-NEA-01,982.0,168.5,813.5,1031100.0,47.0,242.3,121.1,491.0,12,QC_HOLD
18,2026-01-21,PP-002,SITE-NEA-02,1522.4,504.4,1018.0,1598520.0,47.2,301.7,150.8,761.2,9,RELEASED
19,2026-01-21,BUT-001,SITE-USG-01,802.3,230.8,571.5,962760.0,48.9,163.7,81.8,401.15,62,RELEASED
20,2026-01-21,BUT-001,SITE-USG-02,1281.6,493.6,788.0,1537920.0,52.5,210.0,105.0,640.8,49,RELEASED
21,2026-01-21,BUT-001,SITE-NWE-01,513.3,54.9,458.4,615960.0,18.9,340.1,170.1,256.65,82,RELEASED
22,2026-01-21,BUT-001,SITE-NWE-02,1985.8,594.7,1391.1,2382960.0,28.6,682.1,341.0,992.9,43,QC_HOLD
23,2026-01-21,BUT-001,SITE-NEA-01,445.3,155.0,290.3,534360.0,8.9,457.3,228.7,222.65,21,QC_HOLD
