cost_id,origin_site_id,destination_region,transport_mode,cost_per_mt,transit_days,effective_date,expiration_date,carrier
1,SITE-USG-01,North America,TRUCK,25.0,1,2024-01-01,2025-12-31,TRUCK Carrier 2
2,SITE-USG-01,North America,RAIL,17.5,3,2024-01-01,2025-12-31,RAIL Carrier 2
3,SITE-USG-01,North America,VESSEL,12.5,10,2024-01-01,2025-12-31,VESSEL Carrier 1
4,SITE-USG-01,Europe,TRUCK,80.0,3,2024-01-01,2025-12-31,TRUCK Carrier 5
5,SITE-USG-01,Europe,RAIL,56.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
6,SITE-USG-01,Europe,VESSEL,40.0,21,2024-01-01,2025-12-31,VESSEL Carrier 2
7,SITE-USG-01,Asia Pacific,TRUCK,100.0,3,2024-01-01,2025-12-31,TRUCK Carrier 1
8,SITE-USG-01,Asia Pacific,RAIL,70.0,7,2024-01-01,2025-12-31,RAIL Carrier 5
9,SITE-USG-01,Asia Pacific,VESSEL,50.0,21,2024-01-01,2025-12-31,VESSEL Carrier 4
10,SITE-USG-01,Latin America,TRUCK,120.0,3,2024-01-01,2025-12-31,TRUCK Carrier 4
11,SITE-USG-01,Latin America,RAIL,84.0,7,2024-01-01,2025-12-31,RAIL Carrier 4
12,SITE-USG-01,Latin America,VESSEL,60.0,21,2024-01-01,2025-12-31,VESSEL Carrier 2
13,SITE-USG-01,Middle East,TRUCK,90.0,3,2024-01-01,2025-12-31,TRUCK Carrier 1
14,SITE-USG-01,Middle East,RAIL,63.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
15,SITE-USG-01,Middle East,VESSEL,45.0,21,2024-01-01,2025-12-31,VESSEL Carrier 3
16,SITE-USG-02,North America,TRUCK,25.0,1,2024-01-01,2025-12-31,TRUCK Carrier 3
17,SITE-USG-02,North America,RAIL,17.5,3,2024-01-01,2025-12-31,RAIL Carrier 5
18,SITE-USG-02,North America,VESSEL,12.5,10,2024-01-01,2025-12-31,VESSEL Carrier 1
19,SITE-USG-02,Europe,TRUCK,80.0,3,2024-01-01,2025-12-31,TRUCK Carrier 2
20,SITE-USG-02,Europe,RAIL,56.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
21,SITE-USG-02,Europe,VESSEL,40.0,21,2024-01-01,2025-12-31,VESSEL Carrier 3
