run_id,site_id,product_id,start_time,end_time,planned_quantity_mt,actual_yield_mt,yield_pct,feedstock_consumed_mt,feedstock_cost,energy_cost,labor_cost,overhead_cost,total_variable_cost,total_fixed_cost,cost_per_mt,quality_grade,batch_status,carbon_footprint_kg
RUN-00000001,SITE-USG-01,ACN-001,2025-01-21 16:00:00,2025-01-21 20:00:00,195,187.7,96.26,207.9,174636.0,9584.88,5809.07,8010.72,184220.88,13819.79,1055.09,A,COMPLETED,245638.0
RUN-00000002,SITE-USG-01,PVC-001,2025-01-21 16:00:00,2025-01-21 22:00:00,388,384.1,99.0,421.3,278058.0,19562.31,8297.5,28321.7,297620.31,36619.2,870.19,B,COMPLETED,369909.0
RUN-00000003,SITE-USG-02,MEG-001,2025-01-21 12:00:00,2025-01-21 22:00:00,333,320.1,96.14,349.0,157050.0,14584.58,12513.08,19986.87,171634.58,32499.949999999997,637.72,A,COMPLETED,209531.0
RUN-00000004,SITE-USG-02,TOL-001,2025-01-21 03:00:00,2025-01-21 12:00:00,464,441.5,95.15,495.1,252501.0,23063.74,17603.08,22220.05,275564.74,39823.130000000005,714.36,B,COMPLETED,379670.0
RUN-00000005,SITE-NWE-01,BEN-001,2025-01-21 19:00:00,2025-01-22 07:00:00,209,206.1,98.63,233.8,126252.0,11630.1,7800.37,11013.16,137882.1,18813.53,760.29,A,COMPLETED,163436.0
RUN-00000006,SITE-NWE-01,PVC-001,2025-01-21 00:00:00,2025-01-21 05:00:00,372,344.2,92.52,366.4,241824.0,15888.56,13410.93,20731.02,257712.56,34141.95,847.92,A,COMPLETED,384105.0
RUN-00000007,SITE-NWE-01,PP-001,2025-01-21 05:00:00,2025-01-21 15:00:00,287,271.1,94.46,292.0,192720.0,10366.94,7848.02,12895.79,203086.94,20743.81,825.64,A,COMPLETED,145013.0
RUN-00000008,SITE-NWE-02,PVC-001,2025-01-21 03:00:00,2025-01-21 07:00:00,155,150.2,96.89,172.1,113586.0,8338.95,5792.13,6511.48,121924.95,12303.61,893.67,A,COMPLETED,139893.0
RUN-00000009,SITE-NWE-02,ACN-001,2025-01-21 08:00:00,2025-01-21 17:00:00,471,445.6,94.6,490.1,411684.0,14108.34,15404.09,24166.26,425792.34,39570.35,1044.35,A,COMPLETED,576733.0
RUN-00000010,SITE-NWE-02,BUT-001,2025-01-21 03:00:00,2025-01-21 09:00:00,134,129.2,96.44,143.1,103032.0,4797.85,4686.51,7350.44,107829.85,12036.95,927.76,A,COMPLETED,122855.0
RUN-00000011,SITE-NEA-01,HDPE-001,2025-01-21 01:00:00,2025-01-21 10:00:00,398,369.8,92.92,416.8,325104.0,13258.25,7636.68,24475.36,338362.25,32112.04,1001.82,A,COMPLETED,210583.0
RUN-00000012,SITE-NEA-01,ACN-001,2025-01-21 04:00:00,2025-01-21 10:00:00,449,432.1,96.25,489.0,410760.0,23602.04,14511.26,20472.7,434362.04,34983.96,1086.2,B,COMPLETED,527087.0
RUN-00000013,SITE-NEA-01,LLDPE-001,2025-01-21 17:00:00,2025-01-22 04:00:00,321,297.5,92.69,328.8,252518.4,15875.69,8015.51,12904.15,268394.08999999997,20919.66,972.48,A,COMPLETED,425350.0
RUN-00000014,SITE-NEA-01,BEN-001,2025-01-21 06:00:00,2025-01-21 12:00:00,180,168.6,93.67,186.5,100710.0,7623.79,6666.79,13121.08,108333.79,19787.87,759.91,B,COMPLETED,143422.0
RUN-00000015,SITE-NEA-02,PP-001,2025-01-21 17:00:00,2025-01-21 22:00:00,202,190.0,94.04,216.4,142824.0,9251.23,7045.93,13142.81,152075.23,20188.739999999998,906.65,A,COMPLETED,252071.0
RUN-00000016,SITE-NEA-02,ETH-001,2025-01-21 08:00:00,2025-01-21 20:00:00,289,272.1,94.16,311.5,177555.0,9347.92,9657.19,21287.31,186902.92,30944.5,800.62,A,COMPLETED,288764.0
RUN-00000017,SITE-USG-01,ACN-001,2025-01-22 09:00:00,2025-01-22 15:00:00,159,151.6,95.35,167.6,140784.0,8035.99,3440.82,8969.13,148819.99,12409.949999999999,1063.52,A,COMPLETED,175136.0
RUN-00000018,SITE-USG-01,PVC-001,2025-01-22 11:00:00,2025-01-22 23:00:00,484,458.5,94.73,496.0,327360.0,21880.6,12863.73,27279.89,349240.6,40143.619999999995,849.26,B,COMPLETED,610882.0
RUN-00000019,SITE-USG-02,PS-001,2025-01-22 07:00:00,2025-01-22 12:00:00,330,319.8,96.91,344.9,258675.0,15902.25,6715.75,21026.99,274577.25,27742.74,945.34,B,COMPLETED,198755.0
RUN-00000020,SITE-USG-02,PP-HOMO,2025-01-22 00:00:00,2025-01-22 08:00:00,170,162.5,95.58,172.4,144816.0,5392.25,3579.74,6718.18,150208.25,10297.92,987.73,B,COMPLETED,169674.0
RUN-00000021,SITE-NWE-01,BEN-001,2025-01-22 14:00:00,2025-01-22 18:00:00,340,318.3,93.61,343.7,185598.0,10019.7,7229.73,21969.45,195617.7,29199.18,706.3,A,COMPLETED,173949.0
RUN-00000022,SITE-NWE-01,MMA-001,2025-01-22 07:00:00,2025-01-22 12:00:00,223,214.0,95.96,235.0,225600.0,12513.49,6969.74,12123.01,238113.49,19092.75,1201.9,B,COMPLETED,134753.0
RUN-00000023,SITE-NWE-01,BEN-001,2025-01-22 18:00:00,2025-01-23 04:00:00,261,249.5,95.6,263.6,142344.0,7872.64,9509.71,14757.45,150216.64,24267.16,699.33,B,COMPLETED,233101.0
RUN-00000024,SITE-NWE-01,LLDPE-001,2025-01-22 08:00:00,2025-01-22 20:00:00,482,475.4,98.64,502.3,385766.4,20001.13,18931.31,19982.03,405767.53,38913.34,935.38,A,COMPLETED,653150.0
RUN-00000025,SITE-NWE-02,DEG-001,2025-01-22 04:00:00,2025-01-22 12:00:00,482,469.2,97.34,518.0,248640.0,18115.36,15310.59,24624.6,266755.36,39935.19,653.65,A,COMPLETED,261925.0
RUN-00000026,SITE-NWE-02,PP-002,2025-01-22 16:00:00,2025-01-23 02:00:00,239,232.1,97.13,261.0,164430.0,10522.06,5994.76,12570.88,174952.06,18565.64,833.77,A,COMPLETED,189434.0
RUN-00000027,SITE-NWE-02,MMA-001,2025-01-22 14:00:00,2025-01-22 21:00:00,188,178.4,94.92,203.1,194976.0,7993.02,5050.61,13900.39,202969.02,18951.0,1243.95,A,COMPLETED,150403.0
RUN-00000028,SITE-NWE-02,PP-002,2025-01-22 05:00:00,2025-01-22 10:00:00,188,177.1,94.21,190.7,120141.0,9006.64,6481.06,14114.32,129147.64,20595.38,845.53,A,COMPLETED,115347.0
RUN-00000029,SITE-NEA-01,PP-COPOLY,2025-01-22 10:00:00,2025-01-22 22:00:00,155,148.6,95.87,163.7,142419.0,4564.48,5920.74,7219.55,146983.48,13140.29,1077.55,A,COMPLETED,136224.0
RUN-00000030,SITE-NEA-01,PP-HOMO,2025-01-22 12:00:00,2025-01-23 00:00:00,452,434.5,96.13,496.1,416724.0,13861.21,11200.84,28724.94,430585.21,39925.78,1082.88,A,COMPLETED,405955.0
RUN-00000031,SITE-NEA-01,ACN-001,2025-01-22 16:00:00,2025-01-23 04:00:00,457,428.0,93.65,457.0,383880.0,16742.12,10323.38,27670.8,400622.12,37994.18,1024.8,B,COMPLETED,218953.0
RUN-00000032,SITE-NEA-01,LDPE-001,2025-01-22 05:00:00,2025-01-22 14:00:00,108,101.9,94.32,110.6,89586.0,5491.57,2841.66,6016.58,95077.57,8858.24,1019.98,B,COMPLETED,62915.0
RUN-00000033,SITE-NEA-02,BUT-001,2025-01-22 16:00:00,2025-01-23 03:00:00,150,138.7,92.46,149.2,107424.0,7111.73,3531.99,10783.15,114535.73,14315.14,928.99,A,COMPLETED,90842.0
RUN-00000034,SITE-NEA-02,ACN-001,2025-01-22 12:00:00,2025-01-22 18:00:00,158,149.2,94.43,168.3,141372.0,6569.26,5376.54,6377.33,147941.26,11753.869999999999,1070.34,B,COMPLETED,130427.0
RUN-00000035,SITE-USG-01,TOL-001,2025-01-23 20:00:00,2025-01-24 03:00:00,198,185.5,93.69,207.9,106029.0,10999.68,3801.0,8126.12,117028.68,11927.119999999999,695.18,B,COMPLETED,195462.0
RUN-00000036,SITE-USG-01,BEN-001,2025-01-23 17:00:00,2025-01-23 21:00:00,276,272.0,98.54,302.3,163242.0,13608.64,7994.59,13966.26,176850.64,21960.85,730.92,A,COMPLETED,371244.0
RUN-00000037,SITE-USG-01,BEN-001,2025-01-23 08:00:00,2025-01-23 17:00:00,199,186.3,93.62,211.3,114102.0,6483.2,4914.72,11301.61,120585.2,16216.330000000002,734.31,B,COMPLETED,137038.0
RUN-00000038,SITE-USG-01,BUT-001,2025-01-23 18:00:00,2025-01-23 23:00:00,385,360.0,93.5,402.0,289440.0,16373.57,10017.22,20885.56,305813.57,30902.78,935.32,B,COMPLETED,449128.0
RUN-00000039,SITE-USG-02,LDPE-001,2025-01-23 13:00:00,2025-01-23 17:00:00,367,359.5,97.95,388.9,315009.0,14272.05,7922.85,25765.54,329281.05,33688.39,1009.65,A,COMPLETED,349603.0
RUN-00000040,SITE-USG-02,MEG-001,2025-01-23 04:00:00,2025-01-23 13:00:00,265,260.7,98.38,276.8,124560.0,12777.32,6727.59,13230.57,137337.32,19958.16,603.36,A,COMPLETED,232907.0
RUN-00000041,SITE-USG-02,PP-001,2025-01-23 02:00:00,2025-01-23 13:00:00,365,360.0,98.63,398.9,263274.0,12962.07,12903.07,19279.0,276236.07,32182.07,856.72,B,COMPLETED,376914.0
RUN-00000042,SITE-USG-02,LDPE-001,2025-01-23 08:00:00,2025-01-23 12:00:00,464,438.6,94.52,482.8,391068.0,24703.68,11150.21,28346.38,415771.68,39496.59,1038.0,A,COMPLETED,544370.0
RUN-00000043,SITE-NWE-01,XYL-001,2025-01-23 15:00:00,2025-01-24 02:00:00,175,166.7,95.28,190.7,100689.6,5771.73,3414.97,12484.12,106461.33,15899.09,734.02,A,COMPLETED,132859.0
RUN-00000044,SITE-NWE-01,PP-002,2025-01-23 15:00:00,2025-01-24 03:00:00,112,110.5,98.64,123.6,77868.0,5947.03,4249.87,4652.22,83815.03,8902.09,839.07,A,COMPLETED,160724.0
RUN-00000045,SITE-NWE-01,PP-001,2025-01-23 04:00:00,2025-01-23 12:00:00,220,209.1,95.02,230.2,151932.0,12386.07,5591.71,14618.55,164318.07,20210.26,882.49,A,COMPLETED,138283.0
RUN-00000046,SITE-NWE-02,TOL-001,2025-01-23 16:00:00,2025-01-23 20:00:00,299,281.2,94.05,299.9,152949.0,8727.46,11086.59,12297.15,161676.46,23383.739999999998,658.11,A,COMPLETED,358130.0
RUN-00000047,SITE-NWE-02,MMA-001,2025-01-23 02:00:00,2025-01-23 08:00:00,435,418.6,96.23,450.1,432096.0,19615.23,13806.05,18981.19,451711.23,32787.24,1157.43,A,COMPLETED,612122.0
RUN-00000048,SITE-NEA-01,LDPE-001,2025-01-23 15:00:00,2025-01-24 03:00:00,286,274.7,96.04,297.0,240570.0,11723.91,6528.3,17163.74,252293.91,23692.04,1004.68,A,COMPLETED,177870.0
RUN-00000049,SITE-NEA-01,ACN-001,2025-01-23 19:00:00,2025-01-23 23:00:00,315,309.8,98.35,353.4,296856.0,10235.15,9090.65,23384.06,307091.15,32474.71,1096.08,A,COMPLETED,445244.0
