order_id,order_line_id,order_date,ship_date,customer_id,customer_name,product_id,product_name,quantity_mt,unit_price,total_amount,currency,sales_region,sales_channel,customer_segment,contract_id,discount_pct,rebate_amount,freight_cost,ship_from_site,ship_to_location,incoterms,net_revenue,week_start
ORD-00000001,1,2025-01-21,2025-01-31,CUST-00142,Atlantic Chemicals,PP-COPOLY,Polypropylene Copolymer,838.7,1824.34,1530073.96,USD,Europe,Contract,Construction,CTR-00142,5,26144.42,3354.8,SITE-NWE-01,Europe Distribution,FOB,1450215.46,2025-01-20
ORD-00000002,1,2025-01-21,2025-01-30,CUST-00091,Industrial Partners,ACN-001,Acrylonitrile,19.5,1695.75,33067.12,USD,Latin America,Spot,Agricultural,CTR-00091,1,642.08,117.0,SITE-NWE-01,Latin America Distribution,DDP,32619.45,2025-01-20
ORD-00000003,1,2025-01-21,2025-01-28,CUST-00053,Advanced Corp,PP-HOMO,Polypropylene Homopolymer,10.5,1608.82,16892.61,USD,Asia Pacific,Spot,Agricultural,,0,199.49,52.5,SITE-NEA-02,Asia Pacific Distribution,CIF,16840.11,2025-01-20
ORD-00000004,1,2025-01-21,2025-01-29,CUST-00021,Global LLC,PP-HOMO,Polypropylene Homopolymer,0.9,1630.94,1467.85,USD,Latin America,Spot,Construction,CTR-00021,0,17.14,5.4,SITE-USG-01,Latin America Distribution,DDP,1462.45,2025-01-20
ORD-00000005,1,2025-01-21,2025-01-30,CUST-00120,Atlantic Manufacturing,PP-002,Propylene Chemical Grade,36.0,1340.18,48246.48,USD,North America,Direct,Automotive,CTR-00120,0,957.16,90.0,SITE-USG-01,North America Distribution,DAP,48156.48,2025-01-20
ORD-00000006,1,2025-01-21,2025-01-29,CUST-00065,Premier Manufacturing,MMA-001,Methyl Methacrylate,72.9,1650.52,120322.91,USD,North America,Direct,Agricultural,CTR-00065,1,595.87,182.25,SITE-USG-01,North America Distribution,DDP,118937.43,2025-01-20
ORD-00000007,1,2025-01-21,2025-02-02,CUST-00178,National LLC,PP-002,Propylene Chemical Grade,16.1,1227.63,19764.84,USD,Latin America,Direct,Industrial,CTR-00178,1,25.89,96.6,SITE-USG-01,Latin America Distribution,DDP,19470.59,2025-01-20
ORD-00000008,1,2025-01-21,2025-01-25,CUST-00107,Industrial Holdings,PP-COPOLY,Polypropylene Copolymer,107.3,1782.42,191253.67,USD,Latin America,Spot,Consumer,,1,2059.48,643.8,SITE-NEA-01,Latin America Distribution,FOB,188697.33,2025-01-20
ORD-00000009,1,2025-01-21,2025-01-31,CUST-00051,Premier Partners,PP-COPOLY,Polypropylene Copolymer,118.4,1931.47,228686.05,USD,Europe,Contract,Industrial,CTR-00051,1,4122.8,473.6,SITE-NWE-01,Europe Distribution,DDP,225925.59,2025-01-20
ORD-00000010,1,2025-01-21,2025-01-24,CUST-00049,Pacific LLC,ACN-001,Acrylonitrile,60.5,1666.41,100817.8,USD,Latin America,Contract,Consumer,CTR-00049,3,1987.65,363.0,SITE-USG-01,Latin America Distribution,DAP,97430.27,2025-01-20
